User ID,Gender,Age,EstimatedSalary,Purchased
15121958,Male,25,75428,0
15671155,Male,40,74353,1
15131932,Male,46,128132,0
15365838,Male,35,31052,0
15259178,Male,48,115689,0
15644167,Female,47,146743,0
15110268,Male,56,15163,0
15732180,Male,52,56424,1
15054886,Male,35,37420,0
15137337,Male,59,135575,1
15999890,Male,56,44300,1
15521430,Female,34,104881,0
15954698,Male,31,25749,1
15087498,Female,48,119131,1
15899159,Female,41,143563,0
15912756,Male,52,52487,0
15175203,Male,51,36223,0
15191335,Male,20,87930,0
15278167,Male,54,43380,1
15041090,Female,60,41035,0
15329365,Male,57,45620,1
15064820,Male,43,132360,0
15787201,Male,40,68352,0
15321879,Male,56,18191,1
15718315,Male,32,105536,0
15327069,Male,21,119576,0
15776997,Female,46,18631,0
15199041,Female,39,57080,0
15791743,Male,42,105353,0
15103355,Male,30,43671,0
15235796,Male,35,137811,0
15214176,Female,50,142734,1
15184779,Male,33,66399,0
15347449,Female,59,22099,0
15421909,Male,19,71492,0
15989436,Male,52,111722,1
15258795,Male,59,45111,0
15486232,Male,51,78936,0
15917040,Female,47,75920,0
15500186,Female,30,78530,0
15156730,Male,30,22788,1
15870910,Male,35,43082,1
15384681,Female,49,138287,0
15149503,Female,49,104570,0
15654811,Female,52,116015,0
15527035,Female,56,98588,1
15648143,Male,46,103340,1
15452366,Female,46,109439,0
15065725,Male,33,130053,1
15129981,Female,27,63355,1
15084654,Female,47,140426,0
15953277,Female,42,79027,0
15905778,Female,56,107601,0
15591723,Female,37,44956,1
15319030,Male,22,119797,1
15328947,Male,18,139917,1
15555839,Female,47,141303,1
15902648,Female,20,57533,0
15273538,Male,31,93815,1
15331236,Female,47,54279,1
15528178,Female,21,124787,0
15565894,Male,35,76063,0
15489492,Female,54,142896,1
15256840,Female,42,112661,0
15473254,Male,18,138257,1
15349457,Male,32,101205,0
15665987,Male,26,21910,0
15270936,Female,32,61857,1
15239931,Male,41,49964,0
15239629,Male,21,32153,0
